name,kind,family,ic_old,t_old,ic_new,t_new,both_cohorts_positive,old_cohort_only
f_rchg_63_raw,scenario,orthogonal,0.0057,0.3,-0.0057,-0.28,False,True
f_rchg_63_sn,scenario,orthogonal,0.0055,0.31,-0.007,-0.35,False,True
f_z_raw,scenario,orthogonal,-0.005,-0.22,0.0232,1.09,False,False
f_z_sn,scenario,orthogonal,0.0131,0.65,0.0219,1.03,True,False
f_sector_z_raw,scenario,orthogonal,-0.0022,-0.1,0.023,1.09,False,False
f_sector_z_sn,scenario,orthogonal,-0.0024,-0.12,0.0219,1.03,False,False
f_rank_raw,scenario,orthogonal,-0.005,-0.22,0.0232,1.09,False,False
f_rank_sn,scenario,orthogonal,0.0133,0.65,0.0234,1.1,True,False
f_winz_raw,scenario,orthogonal,-0.005,-0.22,0.0232,1.09,False,False
f_winz_sn,scenario,orthogonal,0.0105,0.52,0.0223,1.05,True,False
f_x_surprise_raw,scenario,orthogonal,-0.0152,-0.85,0.0185,1.11,False,False
f_x_surprise_sn,scenario,orthogonal,-0.0069,-0.44,0.0213,1.29,False,False
f_x_quality_raw,scenario,orthogonal,-0.0293,-1.77,-0.019,-1.09,False,False
f_x_quality_sn,scenario,orthogonal,-0.0255,-1.52,-0.0172,-0.99,False,False
f_x_value_raw,scenario,orthogonal,0.0054,0.29,-0.0118,-0.62,False,True
f_x_value_sn,scenario,orthogonal,-0.0253,-1.49,-0.0086,-0.45,False,False
f_x_mom_raw,scenario,orthogonal,-0.0047,-0.27,-0.0161,-0.9,False,False
f_x_mom_sn,scenario,orthogonal,0.0105,0.62,-0.0145,-0.82,False,True
orthogonal_blend__ic_weighted,model,model,0.0247,1.37,-0.03,-1.44,False,True
orthogonal_blend__equal,model,model,0.0289,1.45,-0.0314,-1.39,False,True
f_level_raw,scenario,orthogonal,0.0094,0.45,0.0065,0.33,True,False
f_level_sn,scenario,orthogonal,0.0162,0.88,0.0071,0.36,True,False
f_chg1_raw,scenario,orthogonal,0.0098,0.62,-0.0028,-0.16,False,True
f_chg1_sn,scenario,orthogonal,0.0112,0.74,-0.0026,-0.15,False,True
f_accel_raw,scenario,orthogonal,0.0238,1.39,-0.0063,-0.33,False,True
f_accel_sn,scenario,orthogonal,0.0178,1.21,-0.0063,-0.32,False,True
